time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,la_code,la_name,education_phases,headcount,suspensions,exclusions,susp_rate,excl_rate
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000009,Blackpool,Secondary,30000,802,23,0.026733333333333335,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000009,Blackpool,Special,30000,872,21,0.029066666666666668,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Primary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Secondary,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Special,30000,1000,25,0.03333333333333333,0.0008333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,Primary,30000,803,13,0.026766666666666668,0.0004333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,Secondary,30000,969,18,0.0323,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,Special,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,Primary,30000,1000,18,0.03333333333333333,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,Secondary,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,Special,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,Primary,30000,871,17,0.029033333333333335,0.0005666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,Secondary,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,Special,100,99,23,0.99,0.23
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,Primary,100,99,10,0.99,0.1
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,Secondary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,Special,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,Primary,30000,911,22,0.030366666666666667,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,Secondary,30000,951,19,0.0317,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,Special,30000,1000,12,0.03333333333333333,0.0004
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,Primary,100,99,25,0.99,0.25
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,Secondary,30000,893,24,0.029766666666666667,0.0008
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,Special,30000,841,18,0.028033333333333334,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,Primary,30000,1000,27,0.03333333333333333,0.0009
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,Secondary,100,99,27,0.99,0.27
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,Special,30000,933,19,0.0311,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,Primary,30000,818,13,0.027266666666666668,0.0004333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,Secondary,30000,897,14,0.0299,0.00046666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,Special,30000,1000,12,0.03333333333333333,0.0004
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",Primary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",Secondary,100,99,11,0.99,0.11
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",Special,30000,844,18,0.028133333333333333,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,Primary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,Secondary,30000,889,26,0.029633333333333334,0.0008666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,Special,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,Primary,30000,1000,23,0.03333333333333333,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,Secondary,30000,853,18,0.028433333333333335,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,Special,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,Primary,30000,972,19,0.0324,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,Secondary,30000,1000,18,0.03333333333333333,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,Special,30000,1000,21,0.03333333333333333,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",Primary,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",Secondary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",Special,30000,833,28,0.027766666666666665,0.0009333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000024,North Somerset,Primary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000024,North Somerset,Secondary,30000,810,20,0.027,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000024,North Somerset,Special,100,99,15,0.99,0.15
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,Primary,30000,800,23,0.02666666666666667,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,Secondary,30000,1000,11,0.03333333333333333,0.00036666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,Special,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000026,Plymouth,Primary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000026,Plymouth,Secondary,30000,799,18,0.026633333333333332,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000026,Plymouth,Special,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000027,Torbay,Primary,30000,1000,23,0.03333333333333333,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000027,Torbay,Secondary,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000027,Torbay,Special,100,99,27,0.99,0.27
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000028,Bournemouth,Primary,100,99,25,0.99,0.25
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000028,Bournemouth,Secondary,30000,823,17,0.027433333333333334,0.0005666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000028,Bournemouth,Special,100,99,14,0.99,0.14
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000029,Poole,Primary,30000,737,10,0.024566666666666667,0.0003333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000029,Poole,Secondary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000029,Poole,Special,30000,1000,15,0.03333333333333333,0.0005
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000030,Swindon,Primary,30000,1000,16,0.03333333333333333,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000030,Swindon,Secondary,30000,890,26,0.029666666666666668,0.0008666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000030,Swindon,Special,100,99,23,0.99,0.23
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,Primary,30000,918,22,0.0306,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,Secondary,30000,982,22,0.032733333333333337,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,Special,30000,960,23,0.032,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000032,Luton,Primary,30000,984,14,0.0328,0.00046666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000032,Luton,Secondary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000032,Luton,Special,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,Primary,30000,810,21,0.027,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,Secondary,30000,1000,19,0.03333333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,Special,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,Primary,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,Secondary,30000,940,19,0.03133333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,Special,100,99,27,0.99,0.27
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000035,Medway,Primary,30000,1000,31,0.03333333333333333,0.0010333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000035,Medway,Secondary,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000035,Medway,Special,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,Primary,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,Secondary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,Special,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,Primary,30000,931,19,0.031033333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,Secondary,100,99,15,0.99,0.15
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,Special,30000,905,18,0.030166666666666668,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000038,Reading,Primary,30000,771,24,0.0257,0.0008
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000038,Reading,Secondary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000038,Reading,Special,100,99,14,0.99,0.14
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000039,Slough,Primary,30000,763,21,0.025433333333333332,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000039,Slough,Secondary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000039,Slough,Special,30000,858,18,0.0286,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,Primary,30000,836,23,0.027866666666666668,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,Secondary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,Special,30000,916,16,0.030533333333333332,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000041,Wokingham,Primary,30000,1000,19,0.03333333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000041,Wokingham,Secondary,30000,990,16,0.033,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000041,Wokingham,Special,30000,978,20,0.0326,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,Primary,100,99,12,0.99,0.12
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,Secondary,30000,813,24,0.0271,0.0008
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,Special,30000,956,26,0.03186666666666667,0.0008666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,Primary,30000,1000,19,0.03333333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,Secondary,30000,1000,19,0.03333333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,Special,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,Primary,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,Secondary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,Special,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000045,Southampton,Primary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000045,Southampton,Secondary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000045,Southampton,Special,30000,820,20,0.027333333333333334,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,Primary,30000,842,20,0.028066666666666667,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,Secondary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,Special,30000,1000,22,0.03333333333333333,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000047,County Durham,Primary,30000,986,20,0.03286666666666667,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000047,County Durham,Secondary,30000,768,22,0.0256,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000047,County Durham,Special,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000048,Northumberland,Primary,30000,981,18,0.0327,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000048,Northumberland,Secondary,100,99,18,0.99,0.18
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000048,Northumberland,Special,30000,1000,15,0.03333333333333333,0.0005
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,Primary,100,99,15,0.99,0.15
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,Secondary,30000,1000,27,0.03333333333333333,0.0009
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,Special,100,99,25,0.99,0.25
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,Primary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,Secondary,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,Special,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,Primary,30000,955,20,0.03183333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,Secondary,30000,1000,13,0.03333333333333333,0.0004333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,Special,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000052,Cornwall,Primary,30000,777,23,0.0259,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000052,Cornwall,Secondary,30000,917,25,0.030566666666666666,0.0008333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000052,Cornwall,Special,30000,1000,16,0.03333333333333333,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000053,Isles of Scilly,Primary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000053,Isles of Scilly,Secondary,30000,902,12,0.030066666666666665,0.0004
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000053,Isles of Scilly,Special,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,Primary,100,99,27,0.99,0.27
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,Secondary,30000,723,22,0.0241,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,Special,30000,824,34,0.027466666666666667,0.0011333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000055,Bedford,Primary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000055,Bedford,Secondary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000055,Bedford,Special,30000,952,20,0.031733333333333336,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,Primary,100,99,15,0.99,0.15
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,Secondary,100,99,26,0.99,0.26
Autumn Term,201819,Local Authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,Special,100,99,9,0.99,0.09
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000057,Northumberland,Primary,30000,933,32,0.0311,0.0010666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000057,Northumberland,Secondary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000057,Northumberland,Special,30000,766,19,0.025533333333333335,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",Primary,30000,887,20,0.029566666666666668,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",Secondary,30000,1000,22,0.03333333333333333,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",Special,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000059,Dorset,Primary,30000,1000,19,0.03333333333333333,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000059,Dorset,Secondary,30000,798,19,0.0266,0.0006333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000059,Dorset,Special,100,99,12,0.99,0.12
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,Primary,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,Secondary,100,99,27,0.99,0.27
Autumn Term,201819,Local Authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,Special,30000,1000,17,0.03333333333333333,0.0005666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,Primary,30000,1000,17,0.03333333333333333,0.0005666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,Secondary,30000,891,23,0.0297,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,Special,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,Primary,30000,994,16,0.033133333333333334,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,Secondary,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,Special,30000,885,22,0.0295,0.0007333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000063,Cumberland,Primary,100,99,13,0.99,0.13
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000063,Cumberland,Secondary,30000,1000,21,0.03333333333333333,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000063,Cumberland,Special,100,99,13,0.99,0.13
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000064,Westmorland and Furness,Primary,100,99,15,0.99,0.15
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000064,Westmorland and Furness,Secondary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000064,Westmorland and Furness,Special,30000,961,18,0.03203333333333333,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,Primary,30000,937,31,0.03123333333333333,0.0010333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,Secondary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,Special,30000,1000,28,0.03333333333333333,0.0009333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000066,Somerset,Primary,30000,1000,14,0.03333333333333333,0.00046666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000066,Somerset,Secondary,30000,1000,18,0.03333333333333333,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000009,South West,E06000066,Somerset,Special,30000,1000,21,0.03333333333333333,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E08000001,Bolton,Primary,30000,1000,28,0.03333333333333333,0.0009333333333333333
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E08000001,Bolton,Secondary,100,99,24,0.99,0.24
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E08000001,Bolton,Special,30000,863,25,0.028766666666666666,0.0008333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E08000002,Bury,Primary,30000,872,19,0.029066666666666668,0.0006333333333333333
